No.,url
0,https://www.sciencedirect.com/science/article/pii/S002230931400180X#TBL3
1,https://www.sciencedirect.com/science/article/pii/S0022309305005041#TBL2
2,https://www.sciencedirect.com/science/article/pii/S0022309308007898#TBL3
3,https://www.sciencedirect.com/science/article/pii/S0022309307012458#TBL2
4,https://www.sciencedirect.com/science/article/pii/S0022309304007422#TBL1
5,https://www.sciencedirect.com/science/article/pii/S0022309314001793#TBL5
6,https://www.sciencedirect.com/science/article/pii/S0022309314006498#TBL3
7,https://www.sciencedirect.com/science/article/pii/S0022309399005244#TBL1
8,https://www.sciencedirect.com/science/article/pii/S0022309300004336#TBL3
9,https://www.sciencedirect.com/science/article/pii/S0022309315300375#TBL2
10,https://www.sciencedirect.com/science/article/pii/S0022309399003683#TBL4
11,https://www.sciencedirect.com/science/article/pii/S0022309309000337#TBL3
12,https://www.sciencedirect.com/science/article/pii/S0022309310000372#TBL1
13,https://www.sciencedirect.com/science/article/pii/S0022309308007217#TBL1
14,https://www.sciencedirect.com/science/article/pii/S0022309314001793#TBL3
15,https://www.sciencedirect.com/science/article/pii/S002230931400516X#TBL3
16,https://www.sciencedirect.com/science/article/pii/S0022309303006744#TBL2
17,https://www.sciencedirect.com/science/article/pii/S0022309399006407#TBL1
18,https://www.sciencedirect.com/science/article/pii/S0022309305003959#TBL1
19,https://www.sciencedirect.com/science/article/pii/S0022309302019452#TBL1
20,https://www.sciencedirect.com/science/article/pii/S0022309308007898#TBL2
21,https://www.sciencedirect.com/science/article/pii/S0022309305005041#TBL1
22,https://www.sciencedirect.com/science/article/pii/S002230930500623X#TBL1
23,https://www.sciencedirect.com/science/article/pii/S0022309304005587#TBL1
24,https://www.sciencedirect.com/science/article/pii/S0022309309000337#TBL1
25,https://www.sciencedirect.com/science/article/pii/S0022309300000053#TBL3
26,https://www.sciencedirect.com/science/article/pii/S0022309304011196#TBL1
27,https://www.sciencedirect.com/science/article/pii/S0022309301008006#TBL1
28,https://www.sciencedirect.com/science/article/pii/S0022309301006159#TBL2
29,https://www.sciencedirect.com/science/article/pii/S0022309306011033#TBL3
30,https://www.sciencedirect.com/science/article/pii/S0022309302018641#TBL1
31,https://www.sciencedirect.com/science/article/pii/S0022309308007217#TBL5
32,https://www.sciencedirect.com/science/article/pii/S0022309308005218#TBL3
33,https://www.sciencedirect.com/science/article/pii/S002230930300019X#TBL1
34,https://www.sciencedirect.com/science/article/pii/S0022309304011196#TBL3
35,https://www.sciencedirect.com/science/article/pii/S0022309315302106#TBL2
36,https://www.sciencedirect.com/science/article/pii/S002230939800578X#TBL3
37,https://www.sciencedirect.com/science/article/pii/S0022309308005218#TBL1
38,https://www.sciencedirect.com/science/article/pii/S0022309313005516#TBL2
39,https://www.sciencedirect.com/science/article/pii/S0022309314001793#TBL1
40,https://www.sciencedirect.com/science/article/pii/S0022309305001183#TBL1
41,https://www.sciencedirect.com/science/article/pii/S0022309300002301#TBL5
42,https://www.sciencedirect.com/science/article/pii/S0022309307011659#TBL2
43,https://www.sciencedirect.com/science/article/pii/S0022309396006655#TBL3
44,https://www.sciencedirect.com/science/article/pii/S0022309302015946#TBL3
45,https://www.sciencedirect.com/science/article/pii/S0022309305006332#TBL2
46,https://www.sciencedirect.com/science/article/pii/S0022309315001131#TBL2
47,https://www.sciencedirect.com/science/article/pii/S0022309308007217#TBL4
48,https://www.sciencedirect.com/science/article/pii/S0022309307002116#TBL2
49,https://www.sciencedirect.com/science/article/pii/S0022309308005553#TBL1
